paper, title, mission/instruments, models, manually reviewed, CMR datasets
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML2T;ML2H2O
QSQTDHMN,2019_Hakim_Evaluation of tropospheric ozone and ozone precursors in simulations from the.pdf,'aura/omi'(4); 'aura/mls'(4), 'geos-chem'(1),OMTO3;ML2O3,OMTO3e;ML2O3
8XFSQVXP,2015_Nedoluha_The decrease in mid-stratospheric tropical ozone since 1991.pdf,'aura/mls'(2), ,UARHA2FN;UARHA3AT;ML2O3;ML2N2O,ML2O3
LAFMLDJA,2008_Englert_First results from the Spatial Heterodyne Imager for Mesospheric Radicals.pdf,'aura/mls'(2), ,ML2H2O;ML2OH,ML3DBOH
U4FHZ22K,2012_Gu_Dust aerosol impact on North Africa climate.pdf,'aura/mls'(1); 'aqua/modis'(1), ,ML2IWC,
GN6ZVHCN,2014_Eckert_Drift-corrected trends and periodic variations in MIPAS IMK-IAA ozone.pdf,'aura/mls'(47); 'uars/mls'(2), ,ML2O3,GozMmlpO3;ML2O3
7GW8GM3V,2010_Eriksson_Diurnal variations of humidity and ice water content in the tropical upper.pdf,'aura/mls'(13); 'trmm/virs'(1); 'trmm/pr'(1), ,ML2RHI;ML2IWC,ML2RHI
7WIYIUZU,2018_Schranz_Diurnal variation in middle-atmospheric ozone observed by ground-based.pdf,'uars/mls'(1), ,ML2O3,
SYY76RCD,2011_David_Distribution of ozone and its precursors over Bay of Bengal during winter 2009.pdf,'aura/omi'(2); 'aura/mls'(1); 'aqua/modis'(1), ,ML2O3;OMTO3e;OMTO3d;OMNO2d,
P6PMXKJS,2013_Su_Diagnosis of regime-dependent cloud simulation errors in CMIP5 models using.pdf,'aqua/airs'(1); 'aqua/amsr-e'(1), ,AIRS3STD;AIRS2RET,
NGGQEMBZ,2013_Barré_Diagnosing the transition layer at extratropical latitudes using MLS O.pdf,'aura/mls'(2), ,ML2O3;AIRS3STD,ML2O3
FWEQ7PQG,2015_Zhu_Development of a Polar Stratospheric Cloud Model within the Community Earth.pdf,'aura/mls'(4); 'uars/mls'(1), 'geos-5'(1),ML2HNO3;ML2HCL;ML2H2O;ML2O3;ML2T,ML2T
W2GQ8VQV,2017_Chipperfield_Detecting recovery of the stratospheric ozone layer.pdf,'aura/mls'(1), 'merra'(1),ML2O3;GozMmlpHCl;GozMmlpO3,
YDLXBUA2,2017_Khosrawi_Denitrification dehydration and ozone loss during the 2015-2016 Arctic winter.pdf,'aura/mls'(34); 'uars/mls'(1), ,ML2CLO;ML2HNO3;ML2O3;ML2T,ML2T;ML2CLO;ML2O3;ML2HNO3;ML2H2O
CA24LD5Q,2011_Khosrawi_Denitrification and polar stratospheric cloud formation during the Arctic.pdf,'aura/mls'(15); 'uars/mls'(4), 'gdas'(4); 'geos-5'(2),ML2HNO3;UARML3AT;UARML3AL,ML2HNO3;GozMmlpHNO3
XRJSZ6PJ,2018_Strahan_Decline in Antarctic Ozone Depletion and Lower Stratospheric Chlorine.pdf,'aura/mls'(1), 'merra'(8),ML2O3;ML2N2O;ML2HCL,
TKE9RE65,2015_Inness_Data assimilation of satellite-retrieved ozone carbon monoxide and nitrogen.pdf,'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/omi'(1); 'aura/mls'(1), ,OMNO2d;OMTO3d;ML2O3;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm,
53ADKVML,2015_de Wit_Coupling in the middle atmosphere related to the 2013 major sudden.pdf,'aura/mls'(2); 'uars/windii'(1); 'uars/mls'(1); 'aura/mls----level 2'(1), ,ML2T,ML2T
B5EGTRJR,2019_Macotela_D‐Region High‐Latitude Forcing Factors.pdf,'aura/mls'(2), ,ML2T,
2SI4C4QF,2018_Zülicke_Coupling of Stratospheric Warmings with Mesospheric Coolings in Observations.pdf,'aura/mls'(3); 'aura/mls----level 2'(1), 'merra'(2),ML2T,
QWEZL4KM,2019_Das_Upper tropospheric ozone transport from the sub-tropics to tropics over the.pdf,'aura/mls'(8), 'gdas'(1),ML2H2O;ML2O3;ML2CO,ML2O3;ML2H2O
Z7ME64LK,2019_Johansson_Unusual chlorine partitioning in the 2015-16 Arctic winter lowermost.pdf,'aura/mls'(13); 'uars/mls'(1), 'merra'(13); 'merra-2'(13),M2I6NPANA;ML2CH3CL;ML2CLO;ML2HCL;ML2HNO3;ML2O3;ML1OA,GozMmlpHCl
MNFDJB8F,2019_Inness_The CAMS reanalysis of atmospheric composition.pdf,'terra/modis'(2); 'aqua/modis'(2); 'noaa-19/sbuv/2'(1); 'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/omi'(1); 'aura/mls'(1), 'merra'(4); 'merra-2'(1),ML2O3;OMNO2;OMTO3;BUVN04L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUVN07L2,
F7FJJ4B5,2019_du Preez_Spring and summer time ozone and solar ultraviolet radiation variations over.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMNO2;OMTO3G,
GX8E53NA,2018_Wargan_Recent Decline in Extratropical Lower Stratospheric Ozone Attributed to.pdf,'aura/mls'(3); 'aura/omi'(1), 'merra'(46); 'merra-2'(45),M2I3NVASM;M2IMNPASM,ML2O3
WI8FPDAY,2019_Suleiman_OMI total bromine monoxide (OMBRO) data product.pdf,'aura/omi'(2), ,ML1RADD;OML1BRUG,
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,ML2HNO3;OMI_MINDS_NO2;ML2T;OMNO2d
