paper, title, mission/instruments, models, manually reviewed, CMR datasets
46I239RD,2018_Akhil Raj_Long-term trends in stratospheric ozone temperature and water vapor over the.pdf,'uars/haloe'(7); 'uars/mls'(6); 'aura/mls'(2), ,UARML3AL;UARML3AT;UARHA2FN;UARHA3AT;ML2O3;ML2N2O;ML2H2O,GozMmlpH2O;GozMmlpO3
26VRCAYH,2018_Steinbrecht_Is global ozone recovering.pdf,'aura/mls'(1), ,GozSmlpO3;SBUVN07L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,
GNSX8RML,2015_Tschanz_Signatures of the 2-day wave and sudden stratospheric warmings in Arctic water.pdf,'aura/mls'(3), ,ML2T,ML2T
FJ4P3XMA,2018_Pan_Quantifying Arctic lower stratospheric ozone sources in winter and spring.pdf,, 'merra'(3); 'merra-2'(3),ML2O3,
PMGDDSGR,2016_Ohyama_Observations of stratospheric and mesospheric O3 with a millimeter-wave.pdf,'aura/mls'(1), ,ML2O3,
PYGAJ2YM,2018_Thölix_Linking the uncertainty in simulated arctic ozone losses to modelling of.pdf,'aura/mls'(1), ,ML2O3;ML2H2O,
C87C263I,2018_Laeng_On the improved stability of the version 7 MIPAS ozone record.pdf,'aura/mls'(4), ,ML2O3,ML2O3
QW6PHEQ8,2015_Lee_Isotopic changes due to convective moistening of the lower troposphere.pdf,'aura/mls'(1), ,ML2IWC,
9TKE58GT,2018_Tian_Interannual variations of water vapor in the tropical uppertroposphere and the.pdf,'aura/mls'(5); 'aura/mls----level 2'(1), ,ML2H2O,ML2H2O
9QEZ7WVZ,2006_Su_Enhanced positive water vapor feedback associated with tropical deep convection.pdf,'aura/mls'(3); 'aqua/airs'(1), ,ML2H2O;ML2IWC,ML2H2O
SGFU2QGF,2014_Clarisse_The 2011 Nabro eruption a SO2 plume height analysis using IASI measurements.pdf,, 'gdas'(1),ML2SO2,
AXFFDXQE,2016_Gu_Summertime nitrate aerosol in the upper troposphere and lower stratosphere over.pdf,'erbs/sage ii'(1), 'geos-chem'(19); 'geos-5'(1),ML2HNO3;ML2O3,
LZ6XKA6H,2016_Randel_Stratospheric Temperature Trends over 1979–2015 Derived from Combined SSU MLS.pdf,'aura/mls'(2), ,ML2T,ML2T
7PMTQ34B,2016_Vogel_Long-range transport pathways of tropospheric source gases originating in Asia.pdf,'aura/mls'(4), ,ML2H2O,ML2H2O
PQT5RYZC,2017_Roy_Influence of enhanced Asian NOx emissions on ozone in the upper troposphere and.pdf,'aura/mls'(1), ,ML2O3,
4XM6WNZJ,2016_Jiang_Impacts of anthropogenic and natural sources on free tropospheric ozone over.pdf,, 'geos-chem'(7); 'geos-5'(1),OMNO2,
SY6LCI3H,2016_Venkat Ratnam_Effect of tropical cyclones on the stratosphere–troposphere exchangeobserved.pdf,'aura/mls'(4), ,ML2O3;ML2H2O,ML2O3;ML2H2O
JF3SA7D3,2017_Gisinger_Atmospheric Conditions during the Deep Propagating Gravity Wave Experiment.pdf,'aqua/airs'(1); 'dmsp/ssmis'(1); 'aura/mls----level 2'(1), 'merra'(2),ML2T;ML2GPH,
32756GQK,2010_Claeyman_A linear CO chemistry parameterization in a chemistry-transport model.pdf,'aura/mls'(1), ,ML2CO,
5SCEBAM7,2011_Ziemke_A global climatology of tropospheric and stratospheric ozone derived from Aura.pdf,'aura/omi'(3); 'aura/mls'(3), ,ML2O3;OMTO3,ML2O3
3G9R2BZV,2006_Sherwood_A Distribution Law for Free-Tropospheric Relative Humidity.pdf,'uars/mls'(7); 'aura/mls'(1), ,UARML3AL;UARML3AT;ML2H2O,
U3VG8RHB,2016_Xie_A connection from Arctic stratospheric ozone to El Niño-Southern oscillation.pdf,, 'merra'(9),GozMmlpO3;GozSmlpO3;M2IMNPANA;M2IMNPASM;M2T1NXSLV;M2TMNXSLV,
PL2NI53R,2017_Smith_A case study of convectively sourced water vapor observed in the overworld.pdf,'aura/mls'(2); 'cloudsat/cloudsat-cpr'(1), ,ML2H2O,ML2H2O
GICWBXCC,2008_Flury_Water vapor transport in the lower mesosphere of the subtropics.pdf,'aura/mls'(8), ,ML2H2O,ML2H2O
ZYZF54C7,2015_Fytterer_The 27 day solar rotational effect on mesospheric nighttime OH and O.pdf,'aura/mls'(6), ,ML2O3;ML2OH,ML3DBOH;ML2O3
S4TREPUM,2018_Smith_Spatial and Temporal Structure of the Tertiary Ozone Maximum in the Polar.pdf,'aura/mls'(2), ,ML2T;ML2OH;ML2GPH;ML2H2O,ML3DBOH
MEVZCVJF,2015_Schoeberl_Sources of seasonal variability in tropical upper troposphere and lower.pdf,'aura/mls'(2), 'merra'(5); 'geos-5'(1),ML2H2O;ML2O3,ML2O3;ML2H2O
R9DEXAU9,2007_Grooß_Simulation of ozone loss in Arctic winter 2004-2005.pdf,'aura/mls'(2), ,ML2N2O;ML2O3,ML2O3
CP9T7GD3,2018_Polichtchouk_Sensitivity of the Brewer–Dobson Circulation and Polar Vortex Variability to.pdf,'aura/mls'(1), ,ML2T,
D4QUX95U,2006_Folkins_Seasonal cycles of O3 CO and convective outflow at the tropical tropopause.pdf,'aura/mls'(3), ,ML2CO,ML2CO
J7IDZZVH,2017_Li_Resolving the Model-Observation Discrepancy in the Mesospheric and.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2HO2,
YX5V2FJR,2011_Palazzi_Probability density functions of long-lived tracer observations from satellite.pdf,'aura/mls'(3); 'uars/haloe'(3); 'uars/mls'(1), ,UARHA2FN;UARHA3AT;ML2N2O,ML2N2O;UARHA2FN
7ARW3FYV,2012_Wu_Hydration or dehydration.pdf,'aura/mls'(3), ,ML2H2O,ML2H2O
PDEBUE9R,2007_Connor_Comparison of ClO measurements from the Aura Microwave Limb Sounder to.pdf,'aura/mls'(2); 'uars/mls'(1), ,ML2CLO,ML2CLO
6JEZUBM7,2012_Andersson_Precipitating radiation belt electrons and enhancements of mesospheric hydroxyl.pdf,'aura/mls'(1); 'sorce/solstice'(1), ,ML2OH;ML2T;ML2H2O,
YGXCQ3PD,2017_Ziemke_A Cloud-Ozone Data Product from Aura OMI and MLS Satellite Measurements.pdf,'aura/mls'(3); 'aura/omi'(2); 'nimbus-7/toms'(1); 'nimbus-7/thir'(1), 'geos-5'(1),ML2O3;OMAERUV;OMAERUVd;OMCLDO2;OMCLDRR;OMTO3;OMTO3d,OMTO3e;ML2O3
DZ88IKSH,2007_Eriksson_First Odin sub-mm retrievals in the tropical upper troposphere.pdf,'aura/mls'(4), ,ML2IWC,
53ET4A5L,2010_Hegglin_Multimodel assessment of the upper troposphere and lower stratosphere.pdf,'aura/mls'(4), ,ML2O3,
DZFHDUKK,2015_Holmen_Neutral atmosphere temperature change at 90 km 70° N 19° E 2003–2014.pdf,'aura/mls'(17), ,ML2T,ML2T
N3F57IUL,2015_Froidevaux_Global OZone Chemistry And Related trace gas Data records for the Stratosphere.pdf,'aura/mls'(110); 'uars/mls'(48); 'uars/haloe'(26); 'aem-2/sage i'(1), 'merra'(11); 'geos-5'(1),MAI6NVANA;ML2HNO3;ML2N2O;ML2O3;ML2H2O;ML2HCL;UARML3AL;UARML3AT;UARHA2FN;UARHA3AT,GozMmlpHNO3;GozMmlpH2O;GozMmlpHCl;ML2O3;ML2N2O;ML2HNO3;GozMmlpO3;ML2H2O
DPY6JSBR,2019_Po‐Chedley_Climatology Explains Intermodel Spread in Tropical Upper Tropospheric Cloud and.pdf,'aura/mls'(1), 'merra'(5),AIRS_MLS_IND,
JQ6T9SMP,2019_Schoeberl_Water Vapor Clouds and Saturation in the Tropical Tropopause Layer.pdf,'aura/mls'(1); 'aura/mls----level 2'(1); 'uars/mls'(1), 'merra'(10),ML2H2O;ML2RHI,
EZXXRGK8,2019_Woiwode_Vortex‐Wide Detection of Large Aspherical NAT Particles in the Arctic Winter.pdf,, ,ML2HNO3,
KV2MQATC,2006_Ziemke_Tropospheric ozone determined from Aura OMI and MLS.pdf,'aura/mls'(12); 'aura/omi'(8); 'uars/mls'(2), 'geos-chem'(3),ML2O3;OMTO3d,OMTO3e;ML2O3
ZAM6WF8Q,2019_McPeters_Trend quality ozone from NPP OMPS.pdf,'aura/mls'(4); 'aura/omi'(3), ,ML2O3;OMTO3d,OMTO3e;ML2O3
NGNECMB3,2016_Garny_Transport pathways from the Asian monsoon anticyclone to the stratosphere.pdf,, ,ML2CO,
7RW69QE8,2017_James_The uptake of HO2 on meteoric smoke analogues.pdf,'aura/mls'(3), ,ML2HO2,ML2HO2
368WH7BM,2019_Lossow_The SPARC water vapour assessment II.pdf,, 'merra'(2),ML2H2O;HIRDLS2,
QJ4W4FAV,2020_Chen_The role of natural factors in constraining long-term tropospheric ozone trends.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMTO3d,
S2PZ8R8Q,2019_Yan_The efficiency of transport into the stratosphere via the Asian and North.pdf,'aura/mls'(2), 'merra'(7); 'merra-2'(7),ML2CO;ML2H2O,ML2H2O
J8DKB3EF,2015_Höpfner_Sulfur dioxide (SO2 ) from MIPAS in the upper troposphere and lower.pdf,'aura/mls'(2), ,ML2SO2,
T9CD9EWM,2015_Kristiansen_Stratospheric volcanic ash emissions from the 13 February 2014 Kelut eruption.pdf,'mtsat/mtsat 2 imager'(1); 'aura/mls'(1), ,ML2SO2;ML2HCL;ML2IWC,
BEPQID44,2015_Millán_Stratospheric and mesospheric HO2 observations from the Aura Microwave Limb.pdf,'aura/mls'(3), 'geos-5'(2),ML2HO2;ML2H2O;ML2O3;ML2T;ML2OH,
GBVMKYVD,2018_Lee_Solar cycle variations in mesospheric carbon monoxide.pdf,'aura/mls'(6); 'sorce/solstice'(4); 'sorce/tim'(3); 'uars/isams'(1); 'tsis-1/sim'(1); 'tsis-1/tim'(1), ,ML2CO;ML2T;SOR3SOLFUVD;SOR3SOLMUVD;SOR3TSI6;SOR3TSID,ML2CO
HGK322FZ,2019_Attinger_Representation of atmospheric blocking in the new global non-hydrostatic.pdf,, ,ML2H2O,
3XDD3Z5P,2019_Arsenovic_Reactive nitrogen (NO y) and ozone responses to energetic electron.pdf,'aura/mls'(2), ,ML2O3,
NQHS3X3R,2017_Ploeger_Quantifying pollution transport from the Asian monsoon anticyclone into the.pdf,'aura/mls'(1), ,ML2CO,
73QE7JQI,2015_Pumphrey_Observations of volcanic SO2 from MLS on Aura.pdf,'aura/mls'(3); 'aura/omi'(1), ,ML2SO2;OMSO2,
PXSG987W,2011_Jackman_Northern Hemisphere atmospheric influence of the solar proton events and ground.pdf,'aura/mls'(10), ,ML2O3;ML2HNO3;ML2HO2;ML2OH,ML2HNO3;ML3DBOH;ML2HO2
Q7A4AR2V,2014_Pertsev_Noctilucent clouds observed from the ground.pdf,'aura/mls'(3), ,ML2RHI;ML2T,ML2T
MHCWNASZ,2016_Carn_Multi-decadal satellite measurements of global volcanic degassing.pdf,'aura/mls'(7); 'aura/omi'(4); 'uars/mls'(4); 'oco-2/oco-2'(3); 'meteor-3/toms'(3); 'aqua/modis'(3); 'terra/modis'(3); 'nimbus-7/toms'(2); 'aqua/airs'(2); 'suomi-npp/omps'(1); 'tiros-n/hirs/2'(1); 'tiros-n/tovs'(1); 'cloudsat/cloudsat-cpr'(1); 'aura/mls----level 2'(1); 'noaa-11/sbuv/2'(1), 'geos-chem'(1),ML2HCL;ML2SO2;OMTO3;OMSO2;AIRIBRAD_NRT;AIRIBRAD,GozMmlpHCl;ML2DGG;UARML3AL;OMSO2e
U8PX8X7U,2019_Ravindrababu_Large Anomalies in the Tropical Upper Troposphere Lower Stratosphere (UTLS).pdf,'aura/mls'(2); 'aura/mls----level 2'(1); 'cosmic/formosat-3/ro'(1); 'aqua/airs'(1), ,ML2CO;ML2O3;ML2H2O;AIRS3STM;AIRS2RET,
FE5Y5SGL,2019_Tritscher_Lagrangian simulation of ice particles and resulting dehydration in the polar.pdf,'aura/mls'(1), ,ML2HNO3;ML2H2O,
DCL88YC5,2019_Zhao_Investigating an Unusually Large 28‐Day Oscillation in Mesospheric Temperature.pdf,'aura/mls'(3), ,ML2T,
9P88NP32,2013_Lee_Interannual variations of MLS carbon monoxide induced by solar cycle.pdf,'aura/mls'(7); 'sorce/solstice'(6); 'sorce/tim'(3); 'sorce/sim'(1); 'uars/isams'(1), ,ML2CO;SOR3SOLFUVD;SOR3TSID,ML2CO
D6XARTDH,2019_Yang_Influences of atmospheric ventilation on the composition of the upper.pdf,'aura/mls'(3), ,ML2O3;ML2CO;ML2H2O,ML2CO
P28L53NT,2019_Xia_Impacts of tropical tropopause warming on the stratospheric water vapor.pdf,'aura/mls'(2), 'geos-5'(3),ML2H2O,ML2H2O
CVYMNJED,2019_Zhou_Impacts of Chemical and Synoptic Processes on Summer Tropospheric Ozone Trend.pdf,'aura/omi'(2), ,ML2O3;OMTO3d;OMSO2e;OMNO2d;OMHCHOd,OMI_MINDS_NO2;OMNO2d
5XSWGIL8,2012_Damiani_Impact of January 2005 solar proton events on chlorine species.pdf,'aura/mls'(1), 'merra'(1),ML2CLO;ML2HCL;ML2HOCL;ML2N2O;ML2T,
P964NNPM,2019_Dion_Ice injected into the tropopause by deep convection – Part 1.pdf,'trmm/pr'(2); 'aura/mls'(1); 'trmm/tmi'(1), ,ML2IWC;ML2H2O;ML2T;ML2RHI;TRMM_3B42_Daily,
XVLWKCQG,2013_Park_Hydrocarbons in the upper troposphere and lower stratosphere observed from.pdf,'aura/mls'(3), 'geos-chem'(1); 'merra'(1),ML2CO,ML2CO
7R2S93BJ,2014_Theys_First satellite detection of volcanic OClO after the eruption of Puyehue-Cordón.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2SO2;ML2HCL,
Y2BWT4KX,2018_Witte_First Reprocessing of Southern Hemisphere ADditional OZonesondes Profile Records.pdf,'aura/omi'(2); 'aura/mls'(2), ,OMTO3;ML2O3;TOMSEPL2,
MTN78WZG,2015_Wang_First evidence of middle atmospheric HO2 response to 27 day solar cycles from.pdf,'aura/mls'(3), ,ML2HO2,ML2HO2
RR7KTNX5,2016_Takahashi_Error analysis of upper tropospheric water vapor in CMIP5 models using.pdf,'aura/mls'(1); 'aqua/airs'(1), 'merra'(1),AIRX3STD;AIRS3SPD;AIRX3SPD;ML2IWC;ML2H2O,
NETHPGK3,2017_Zhao_Enhanced PM 2.pdf,'terra/modis'(3), ,OMNO2;OMNO2d,
EYZ9ZCID,2019_Yung_Effect of the Quasi-Biennial Oscillation on Carbon Monoxide in the Stratosphere.pdf,'aura/mls'(3), ,ML2CO,
UY4RUY3V,2013_Garny_Dynamic variability of the Asian monsoon anticyclone observed in potential.pdf,'aura/mls'(2), 'merra'(5),ML2CO,ML2CO
DP4PQ7XG,2013_Khosravi_Diurnal variation of stratospheric and lower mesospheric HOCl ClO and HO2 at.pdf,'aura/mls'(7), ,ML2CLO;ML2HO2;ML2HOCL;ML2HCL,ML2CLO;ML2HO2;ML2DGG;GozMmlpHCl
2LARLPJX,2016_Sioris_Direct injection of water vapor into the stratosphere by volcanic eruptions.pdf,'aura/mls'(8); 'uars/mls'(2), ,ML2H2O;ML2RHI,GozMmlpH2O;ML2H2O
TTLEKVI8,2019_Stanfield_Convective Entrainment Rates Estimated From Aura CO and CloudSat-CALIPSO.pdf,'aura/mls'(7); 'aqua/airs'(1), 'merra'(1),ML2CO;TML2CO;AIRX2RET,ML2CO
R9VSAIKZ,2019_Weaver_Comparison of ground-based and satellite measurements of water vapour vertical.pdf,'oco-2/oco-2'(1); 'aqua/airs'(1); 'aura/mls'(1), ,AIRS2SUP;AIRS2RET;ML2H2O;TL2H2ONS,
W5D6YNR3,2014_Schoeberl_Cloud formation convection and stratospheric dehydration.pdf,, 'merra'(36); 'geos-5'(1),ML2H2O,
GCEEV58X,2019_Yi_Climatology of the mesopause relative density using a global distribution of.pdf,'aura/mls'(5), ,ML2T,ML2T
FPNFJV9F,2015_Huang_Climatology of cloud water content associated with different cloud types.pdf,'aqua/amsr-e'(1); 'aqua/airs'(1), ,AIRX3STD;TRMM_3B42_Daily,
FWAZJ2CE,2020_Nakajima_Chlorine partitioning near the polar vortex edge observed with ground-based.pdf,'aura/mls'(34), ,ML2N2O;ML2CLO;ML2HCL;ML2HNO3;ML2O3,GozMmlpHCl;ML2CLO;ML2O3;ML2N2O;ML2HNO3
AW7KBMJC,2016_Massie_Changes in the shape of cloud ice water content vertical structure due to.pdf,'aqua/modis'(1), ,ML2CO,
2JLPNVZL,2019_Yu_Black carbon lofts wildfire smoke high into the stratosphere to form a.pdf,, ,ML2H2O;ML2O3;OMPS_NPP_LP_L2_O3_DAILY,
IDZJ4IW3,2019_Miyazaki_Balance of Emission and Dynamical Controls on Ozone During the Korea‐United.pdf,'aura/omi'(2), ,ML2O3;ML2HNO3;OMSO2,OMTO3e
XYW67BZI,2017_Santee_A comprehensive overview of the climatological composition of the Asian summer.pdf,'aura/mls'(9); 'uars/mls'(1), 'geos-5'(5),ML2H2O;ML2CO;ML2CH3Cl;ML2CH3CN;ML2CH3OH;ML2O3;ML2HNO3;ML2HCl;ML2HCN;ML2IWC,ML3DBOH;ML2CH3CL;ML2CH3OH;ML2CO;GozMmlpHCl;ML2O3;ML2HNO3;ML2CH3CN;ML2H2O
JBD98AKG,2018_Sandor_First measurements of ClO in the Venus atmosphere – Altitude dependence and.pdf,'aura/mls'(1), ,ML2CLO,
ZGIVGUBB,2016_Stone_Evaluation of the ACCESS – chemistry–climate model for the Southern Hemisphere.pdf,'aura/mls'(1), 'merra'(1),ML2CLO,
T8H2SQJU,2017_Wohltmann_A quantitative analysis of the reactions involved in stratospheric ozone.pdf,, ,UARHA2FN;UARHA3AT;ML2H2O;ML2N2O;ML2HCL;ML2O3;ML2HNO3,
SV97YMVJ,2019_Errera_Technical note.pdf,'aura/mls'(4), ,ML2O3;ML2CH3CL;ML2CO;ML2H2O;ML2HCL;ML2HNO3;ML2N2O,ML2O3
8HVYWIRW,2011_Pumphrey_Microwave Limb Sounder observations of biomass-burning products from the.pdf,'aura/mls'(1), ,ML2CO;ML2HCN;ML2CH3CN;ML2H2O;ML2CLO;ML2CH3OH;ML2CH3CL,
AAFWB8JI,2013_Stachnik_Stratospheric BrO abundance measured by a balloon-borne submillimeterwave.pdf,'aura/mls'(3), ,ML2BRO,ML2BRO
GSJUIKIZ,2012_Millán_New Aura Microwave Limb Sounder observations of BrO and implications for Bry.pdf,'aura/mls'(1), 'geos-5'(1),ML2BRO;ML2N2O,
UA3S2JJY,2006_Livesey_EOS Microwave Limb Sounder observations of upper stratospheric BrO.pdf,'aura/mls'(1), ,ML2BRO;ML2N2O;ML2O3;UARHA2FN;UARHA3AT,
H5TAMXD9,2016_Manney_The major stratospheric final warming in 2016.pdf,'aura/mls'(7), 'merra'(23); 'merra-2'(21),ML2CLO;ML2CO;ML2H2O;ML2HCL;ML2HNO3;ML2N2O;ML2O3;M2I3NVASM,ML2N2O;ML2CLO;ML2O3;GozMmlpHCl;ML2HNO3;ML2H2O
M27BFZQN,2017_Wang_The linkage between stratospheric water vapor and surface temperature in an.pdf,'aura/mls'(5); 'uars/haloe'(2); 'uars/mls'(2), ,GozMmlpH2O,ML2H2O
N8EP3KHD,2017_Ryan_Strato-mesospheric carbon monoxide profiles above Kiruna Sweden (67.pdf,'aura/mls'(1), 'merra'(1),ML2CO,
UJDB5HR8,2019_Nützel_Quantification of water vapour transport from the Asian monsoon to the.pdf,'aura/mls'(1), ,ML2H2O,
P73KDK8V,2018_Pumphrey_MLS measurements of stratospheric hydrogen cyanide during the 2015–2016 El Niño.pdf,'aura/mls'(1), ,ML2HCN,
ZPLNHHF8,2019_Ryan_Ground-based millimetre-wave measurements of middle-atmospheric carbon monoxide.pdf,'aura/mls'(2), ,ML2CO,
UIR2CJ76,2018_Ryan_Assessing the ability to derive rates of polar middle-atmospheric descent using.pdf,'aura/mls'(2), 'merra'(1),ML2CO,
224T3IW9,,'sorce/sim'(5); 'sorce/solstice'(4); 'uars/solstice'(2); 'aura/mls'(2), ,,
22PXLZA2,,'aura/mls'(36); 'uars/mls'(2), ,,
23WP7RYR,,'aura/mls'(78); 'uars/mls'(13); 'uars/haloe'(4); 'erbs/sage ii'(1); 'suomi-npp/omps'(1); 'aura/hirdls'(1), 'merra'(6),,GozMmlpH2O;ML2O3;ML2H2O
23X87CSK,,'aura/mls'(3); 'aura/omi'(2), ,,
24F6FRPT,,'aura/mls'(12), ,,ML2T;ML2H2O
26Q6TJT7,,'aura/mls'(4), ,,
27NS6EQG,,, ,,
28CVBE3W,,'aura/mls'(9); 'uars/mls'(6); 'aura/omi'(3); 'nimbus-7/toms'(1), 'merra'(5); 'geos-5'(5),,OMTO3e;ML2CLO;GozMmlpHCl;ML2O3;ML2HNO3
29EDME69,,'aura/mls'(16); 'uars/mls'(6); 'uars/haloe'(3), ,,GozMmlpH2O;ML2H2O
2EGKLEK3,,, 'geos-5'(3),,
2EV9BHTD,,, 'merra'(37); 'geos-5'(8),,
2FHCLDFQ,,'aura/mls'(3); 'aqua/modis'(2); 'terra/modis'(2); 'noaa-19/sbuv/2'(1); 'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/omi'(1); 'uars/mls'(1), ,,
2FK9UQZR,,, 'merra'(12),,
2KGA4YS9,,'aura/mls'(2), ,,ML2O3
2M6R4TE2,,'trmm/virs'(2); 'trmm/pr'(2); 'aura/mls'(1), ,,
2MVSMDPE,,'noaa-17/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'terra/modis'(1); 'aqua/modis'(1); 'aura/omi'(1); 'aura/mls'(1), ,,
2VPMF3YL,,'aura/mls'(2); 'uars/haloe'(1); 'uars/mls'(1), ,,
2XJNVVFT,,'aura/mls'(3); 'uars/solstice'(1), ,,ML2H2O
2ZI8HX4I,,'uars/mls'(1); 'aura/mls'(1), ,,
33XWRVRM,,'aura/mls'(9); 'uars/mls'(6), ,,ML2HNO3;GozMmlpHNO3
37IWZ8BP,,'aura/mls'(1), 'merra'(10); 'merra-2'(10); 'geos-5'(2),,
3CPRITTJ,,, 'geos-chem'(14); 'merra'(2),,
3DGQKPAV,,'aura/mls'(7); 'uars/haloe'(1), ,,ML2H2O
3FISR6JW,,'aura/mls'(3); 'uars/haloe'(1); 'uars/mls'(1); 'aura/omi'(1), 'merra'(21); 'merra-2'(3); 'geos-5'(2),,ML2O3
3FITQ83H,,'aura/mls'(1), ,,
3LWCSP8I,,'aura/mls'(2); 'aura/omi'(1); 'aqua/airs'(1), ,,
3NERK755,,, ,,
3NQP8R3E,,'aura/mls'(1), ,,
3PC78WLV,,'uars/mls'(3); 'uars/haloe'(1), 'geos-chem'(11),,
3PEXECEI,,, ,,
3QSBT7RG,,'aura/mls'(5); 'aura/hirdls'(1); 'erbs/sage ii'(1), ,,ML2O3
3UWFEQ8Z,,'aura/mls'(2), ,,GozMmlpHCl
3VU7TM9A,,'aura/mls'(2); 'uars/mls'(1), ,,
3VYP97T3,,'uars/mls'(38); 'aura/mls'(15); 'uars/hrdi'(4); 'uars/mls----level 3'(2); 'uars/mls----level 2'(1); 'aura/mls----level 2'(1); 'uars/haloe'(1), ,,GozMmlpO3
42HUJPJU,,'aura/mls'(2); 'uars/haloe'(2); 'uars/mls'(2), 'merra'(1),,GozMmlpO3;ML2O3
42KCNIZD,,, ,,
47KFHY3L,,'aura/mls'(27); 'uars/mls'(21), ,,ML2CLO;UARML3AL
4C85NUHQ,,'sorce/sim'(3); 'sorce/solstice'(2); 'aura/mls'(1); 'uars/susim'(1); 'uars/solstice'(1), ,,
4C8ZJ5HP,,'aura/mls'(18); 'uars/mls'(17); 'uars/haloe'(8); 'aura/hirdls'(6), ,,GozMmlpO3;ML2O3;H3ZFCO3
4CNZ7PY5,,'aqua/airs'(1); 'aqua/hsb'(1); 'aura/mls'(1), ,,
4D93DX6C,,'aura/mls'(1), ,,
4ECB9N7G,,'aura/mls'(3), 'merra'(4),,
4JJFHR6I,,'aura/mls'(12), ,,ML2O3;ML2H2O
4LN2IQMA,,'aura/mls'(1), ,,
4MZC455Y,,'aura/mls'(8), ,,ML2H2O
4N9BFHJ7,,'uars/haloe'(1); 'aura/mls'(1), ,,
4NNDGHVK,,, ,,
4TGNGAGB,,, ,,
4W29B7VD,,'aura/mls'(6), ,,ML2T
4X6ENY9A,,'aura/mls'(1), 'merra'(50); 'merra-2'(30),,
4XZUSIBY,,'aqua/airs'(2); 'aura/mls'(2), ,,
4ZQYXGFY,,'aura/mls'(1), 'geos-chem'(8),,
52Q42AWA,,'sorce/solstice'(8); 'aura/mls'(4), ,,ML3DBOH
538WPWQC,,'aura/mls'(6), ,,ML2CO
5685LFY2,,'aura/mls'(2), ,,
59BED3AU,,'aura/mls'(4), ,,ML2T
59G4KUT9,,'aura/mls'(32); 'uars/haloe'(3); 'uars/mls'(3), ,,ML2T;ML2O3;ML2H2O
5AZBBCZS,,'aura/mls'(3); 'aqua/airs----level 3'(1); 'aqua/amsr-e'(1), ,,
5DLDNUAB,,'aura/mls'(3), ,,
5DMFUQLG,,'aura/mls'(2), 'merra'(1),,
5EDDDJU8,,'aura/mls'(7), ,,ML2H2O
5EP7WLN9,,, 'merra'(4),,
5J2PDQRR,,'aura/mls'(6); 'aura/hirdls'(1), 'geos-5'(19); 'merra'(5),,
5JYC2V6D,,'aura/omi'(5); 'aura/mls'(5), 'geos-5'(10); 'merra'(1),,OMTO3e;ML2O3
5RNKX56D,,, ,,
5UUASSJK,,'aura/mls'(2); 'suomi-npp/omps'(1); 'erbs/sage ii'(1), 'merra'(6); 'merra-2'(6),,
5ZAVENKV,,'aura/mls'(3), ,,
5ZM7U8RD,,'aura/mls'(23), ,,ML2CO;ML2N2O;ML2T;ML2H2O
62JTFY4P,,'aura/mls'(1); 'uars/mls'(1), ,,
69TSC9ZU,,'aura/mls'(3), ,,
6B78GD7K,,'aura/mls'(1), ,,
6CDRBYJP,,'aura/mls'(16); 'aqua/airs'(2), ,,ML2T;ML2O3;ML2H2O
6IF5LU3J,,'aura/mls'(3), ,,
6J6SY6RL,,'aura/omi'(1), ,,
6PPN35LJ,,'aura/mls'(8), ,,ML2H2O
6QCB8Z78,,'aura/omi'(4); 'aura/mls'(3); 'aura/hirdls'(2), 'gdas'(2),,OMTO3e
6QR5W5A3,,, 'geos-chem'(24),,
6S33TCCL,,'uars/haloe'(1), ,,
6UBVZSQL,,'aura/mls'(22); 'aura/omi'(5); 'uars/haloe'(5); 'uars/mls'(4); 'noaa-9/sbuv/2'(2); 'noaa-11/sbuv/2'(2); 'noaa-19/sbuv/2'(1); 'nimbus-7/sbuv'(1); 'nimbus-7/toms'(1); 'noaa-17/sbuv/2'(1), 'merra'(67); 'merra-2'(41),,ML2T;OMTO3e;GozMmlpH2O;ML2O3;UARHA2FN;ML2H2O
6VLQB3DI,,'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/omi'(1); 'aura/mls'(1), ,,
6XDHBXC5,,'aura/mls'(1), ,,
76YPR54S,,'aura/omi'(6); 'aura/mls'(4); 'suomi-npp/omps'(1); 'uars/mls'(1); 'aura/hirdls'(1); 'nimbus-7/toms'(1), ,,OMTO3e;ML2O3
7EZKNAK5,,, 'merra'(1),,
7GICFFVH,,'aqua/modis----level 3'(1), ,,
7LQ4HKCW,,'aura/mls'(4), ,,
7NMG87P9,,, ,,
7QTTTVRD,,'aura/mls'(4), ,,ML2O3
7SUJHRNB,,'aura/mls'(2), ,,ML2CO
7VQFU4ZV,,'aura/mls'(14); 'uars/mls'(1); 'uars/haloe'(1); 'erbs/sage ii'(1), 'geos-5'(1),,ML2N2O;ML2H2O
