paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
NDVTGZJP,2018_Zheng_Trends in China's anthropogenic emissions since 2010 as the consequence of.pdf,, ,OMSO2e,,,,0, 1, 0
N4X47AVC,2019_Liao_Towards a satellite formaldehyde - in situ hybrid estimate for organic aerosol.pdf,'aura/omi'(1); 'aqua/modis'(1), 'geos-chem'(41); 'merra'(2),OMNO2d;OMHCHOd,,,,0, 2, 0
Y3BLB3XL,2019_Wright_The Incidence of Skin Cancer in Relation to Climate Change in South Africa.pdf,, ,OMUVBd,,,,0, 1, 0
9T7ETCD5,2017_Rabin_The Fire Modeling Intercomparison Project (FireMIP) phase 1.pdf,, ,OMNO2d,,,,0, 1, 0
YV8QAZC9,2019_Zhang_The controlling factors of atmospheric formaldehyde (HCHO) in Amazon as seen.pdf,'aura/omi'(1); 'aqua/modis----level 2'(1); 'terra/modis----level 2'(1), ,OMHCHO,,,,0, 1, 0
2RDXBLEY,2018_Kautz_Surface irradiance estimations on watercourses with remote sensing data.pdf,'terra/modis'(1); 'aura/omi'(1), 'merra'(10); 'merra-2'(7),OMTO3d;M2T1NXSLV,,,,0, 2, 0
T3W3K8Q9,2017_Chen_Stratospheric ozone change over the Tibetan Plateau.pdf,'aura/omi'(3); 'meteor-3/toms'(1); 'nimbus-7/toms----level 3'(1); 'nimbus-7/toms'(1), ,OMTO3G,,,,0, 1, 0
NC8KSBK2,2019_Liu_Semi-quantitative understanding of source contribution to nitrous acid (HONO).pdf,, ,OMTO3e,,,,0, 1, 0
L7UQLPFA,2019_Adams_Satellite-derived emissions of carbon monoxide ammonia and nitrogen dioxide.pdf,'aqua/modis'(5); 'terra/modis'(5); 'suomi-npp/cris'(1), ,OMNO2,,,,0, 1, 0
KV5RTZWG,2019_Adachi_Relative Azimuthal-Angle Matching (RAM).pdf,'terra/modis'(4); 'himawari-8/ahi'(2); 'aura/omi'(2), ,OMDOAO3e,OMTO3e,,,0, 1, 1
E8KWBLIJ,2018_Yoshioka_Reflectance comparison between Himawari-8 AHI and Terra MODIS over a forest of.pdf,'terra/modis'(7); 'himawari-8/ahi'(4); 'aura/omi'(1), ,OMDOAO3e,,,,0, 1, 0
SUXGQL4V,2019_Eswaran_Multi-satellite retrieval of single scattering albedo using the OMI–MODIS.pdf,'aura/omi'(1); 'aqua/modis'(1); 'aqua/modis----level 2'(1), ,OMAERUV,,,,0, 1, 0
LJKMTLEZ,2019_Coppola_Monitoring endogenous growth of open-vent volcanoes by balancing thermal and.pdf,'aqua/modis'(1); 'terra/modis'(1); 'aura/omi'(1), ,OMSO2G,,,,0, 1, 0
9NAW9JQQ,2016_Gkikas_Mediterranean intense desert dust outbreaks and their vertical structure based.pdf,'terra/modis'(25); 'aqua/modis'(13); 'aura/omi'(7); 'ep-toms/toms'(5); 'terra/modis----level 3'(3); 'terra/modis----level 1'(2); 'aqua/modis----level 1'(2); 'aqua/modis----level 3'(1); 'nimbus-7/toms'(1), ,OMTO3d,,,,0, 1, 0
IWRD72VP,2018_Kaiser_High-resolution inversion of OMI formaldehyde columns to quantify isoprene.pdf,'aura/omi'(1), 'geos-chem'(27),OMHCHO,,,,0, 1, 0
A89G3Q3D,2019_Laughner_Evaluation of version 3.pdf,, 'geos-chem'(10),OMPIXCOR,,,,0, 1, 0
W5ET2XUU,2018_Konovalov_Estimation of black carbon emissions from Siberian fires using satellite.pdf,'aqua/modis'(3); 'terra/modis'(2); 'aura/omi'(1); 'aqua/airs'(1), ,OMAERUV,,,,0, 1, 0
ATWTNVTU,2017_Halpern_Drivers and implications of change in global ocean health over the past five.pdf,'aura/omi'(1), ,OMUVBd,,,,0, 1, 0
A2U4EB5W,2019_Kwon_Description of a formaldehyde retrieval algorithm for the Geostationary.pdf,, 'geos-chem'(5); 'geos-5'(2); 'merra'(1),OMHCHO,,,,0, 1, 0
5M55Z3TX,2018_Zhang_Decadal Trends in Wet Sulfur Deposition in China Estimated From OMI SO.pdf,'aura/omi'(2), ,OMSO2e,,,,0, 1, 0
56ZJTQ2E,2020_Kim_Concentrations of criteria pollutants in the contiguous U.pdf,, ,OMHCHO,,,,0, 1, 0
INL73H6T,2019_Sim_Annual variability of dissolved manganese in Northeast Pacific along Line-P.pdf,'aura/omi'(1), 'merra-2'(1); 'merra'(1),OMUVBd,,,,0, 1, 0
EKAJVLGZ,2018_Saturno_African volcanic emissions influencing atmospheric aerosols over the Amazon.pdf,'aura/omi'(1), 'gdas'(1),OMSO2,,,,0, 1, 0
22HNL25W,2019_de Graaf_Aerosol direct radiative effect over clouds from a synergy of Ozone Monitoring.pdf,'aqua/modis'(3); 'aura/omi'(2); 'terra/modis'(1), ,OMAERO,,,,0, 1, 0
