paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
WI8FPDAY,2019_Suleiman_OMI total bromine monoxide (OMBRO) data product.pdf,'aura/omi'(2), ,ML1RADD;OML1BRUG,MSVOLSO2L4;OMTO3d;OMDOAO3e;OMSO2e;OMBRO;OMSO2;OMSO2G;OMTO3e;OMO3PR;MSAQSO2L4;OMTO3G;OMDOAO3,,,0, 2, 12
DT6TGB86,2020_Sogacheva_Merging regional and global aerosol optical depth records from major available.pdf,'terra/modis'(4); 'aqua/modis'(3); 'nimbus-7/toms'(1), ,OMAERUV;SWDB_L3M10;TOMSEPL2;TOMSN7L2;TOMSEPL3;TOMSN7L3,,,,0, 6, 0
E7JHRVCH,2019_Ren_Lightning and Associated Convection Features in the Presence of Absorbing.pdf,'aqua/modis'(4); 'aura/omi'(1), 'merra'(9),M2I3NPASM;M2I3NVASM;M2T1NXFLX;M2T1NXSLV;OMTO3,,,,0, 5, 0
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'scisat-1/ace/ace-fts'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,GozSmlpO3;UARHA2FN;OMO3PR;OMDOAO3Z;OMI_MINDS_NO2d;OMI_MINDS_NO2;ML2N2O;OMTO3d;OMDOAO3e;GozSmlpN2O;ML2O3;OMMYDCLD;ML2N2O_NRT;ML2T;OMTO3G;OMUFPITMET;ML3DBT;ML2HNO3_NRT;OMNO2d;OMTO3e;OMTO3_CPR;ML3DZT;OMTO3;OMDOAO3;UARHA3AT;OMNO2_CPR;OMNO2;ML3MBT;ML2DGG;ML2HNO3;ML2O3_NRT;GozMmlpO3;OMNO2G;ML3DBHNO3;OMVFPITMET,,,5, 2, 30
2ZZ72XPQ,2019_Kacenelenbogen_Estimations of global shortwave direct aerosol radiative effects above opaque.pdf,'aqua/modis'(6); 'terra/modis'(2), 'geos-5'(1),OMAERO;OMAERUV,,,,0, 2, 0
LJJ4NEIF,2018_Sarkar_Crop Residue Burning in Northern India.pdf,'terra/modis'(3); 'aura/omi'(3); 'aqua/modis'(2); 'aqua/airs'(1), 'merra'(5); 'merra-2'(2),AIRS3STD;M2TMNXAER;OMAEROe;OMAERUVd,AIRX2RET;AIRX3STD;AIRX2SUP,,,0, 4, 3
F2ZKI99D,2020_Fioletov_Anthropogenic and volcanic point source SOsub2-sub emissions derived from.pdf,'sentinel-5p/tropomi'(4); 'aura/omi'(3); 'suomi-npp/omps'(1), ,MSAQSO2L4;OMPS_NPP_NMSO2_PCA_L2;OMSO2;S5P_L2__SO2____HiR;S5P_L2__SO2____,OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4;S5P_L2__SO2___;S5P_L2__SO2____HiR;OMSO2e;OMPS_NPP_NMSO2_L2;OMSO2;OMSO2G;S5P_L2__CLOUD_;OMMYDCLD;S5P_L2__CLOUD__HiR;MSAQSO2L4;OMUFPITMET;OMVFPITMET,,,4, 1, 10
KK5T5FAG,2020_Huijnen_An intercomparison of tropospheric ozone reanalysis products from CAMS CAMS.pdf,'aura/mls'(3); 'aura/omi'(2); 'noaa-14/sbuv/2'(1); 'noaa-19/sbuv/2'(1), ,ML2O3;OMNO2;OMSO2,OMSO2e;OMO3PR;OMI_MINDS_NO2d;OMI_MINDS_NO2;ML2N2O;OMTO3d;OMDOAO3e;GozSmlpN2O;OMSO2;OMSO2G;ML2O3;ML2N2O_NRT;OMTO3G;ML2SO2_NRT;ML3DBCO;ML2SO2;ML2HNO3_NRT;OMNO2d;OMTO3e;MSVOLSO2L4;ML2CO_NRT;OMDOAO3;OMNO2_CPR;MSO3L3zm5;OMNO2;ML2DGG;ML2HNO3;ML2O3_NRT;ML3DBSO2;GozMmlpO3;OMNO2G;MSAQSO2L4;ML3DBHNO3;ML2CO,,,3, 0, 31
LTTW7HBG,2018_Lambert_Accuracy and precision of polar lower stratospheric temperatures from.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(26); 'merra-2'(17); 'geos-5'(10),ML2H2O;ML2HNO3;ML2T,AIRX2SUP;ML2RHI;ML3MBT;ML2HNO3_NRT;ML2DGG;ML2HNO3;AIRX3STD;AIRX2RET;ML3DZT;ML2T;ML3DBHNO3;ML3DBT;ML2H2O,,,3, 0, 10
TB4GIJ7Y,2020_Liu_A methodology to constrain carbon dioxide emissions from coal-fired power.pdf,'aura/omi'(1), 'merra'(4); 'merra-2'(4),OMNO2;OMVFPITMET,OMI_MINDS_NO2;OMNO2_CPR;OMTO3d;OMDOAO3e;OMNO2;OMDOAO3;OMNO2d;OMTO3e;OMO3PR;OMNO2G;OMTO3G;OMI_MINDS_NO2d,,,1, 1, 11
