paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
XHRT3E32,2018_Hickman_Satellite evidence of substantial rain-induced soil emissions of ammonia across.pdf,'aura/omi'(1), ,OMNO2d;TRMM_3B42_Daily,OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMI_MINDS_NO2d,,,1, 1, 5
WI8FPDAY,2019_Suleiman_OMI total bromine monoxide (OMBRO) data product.pdf,'aura/omi'(2), ,ML1RADD;OML1BRUG,OMTO3d;OMDOAO3;OMTO3e;OMSO2;OMSO2G;OMSO2_CPR;MSAQSO2L4;OMO3PR;OMDOAO3G;OMSO2e;OMBRO;OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4;OMDOAO3e;OMTO3G,,,0, 2, 15
DT6TGB86,2020_Sogacheva_Merging regional and global aerosol optical depth records from major available.pdf,'terra/modis'(4); 'aqua/modis'(3); 'nimbus-7/toms'(1), ,OMAERUV;SWDB_L3M10;TOMSEPL2;TOMSN7L2;TOMSEPL3;TOMSN7L3,,,,0, 6, 0
E7JHRVCH,2019_Ren_Lightning and Associated Convection Features in the Presence of Absorbing.pdf,'aqua/modis'(4); 'aura/omi'(1), 'merra'(9),M2I3NPASM;M2I3NVASM;M2T1NXFLX;M2T1NXSLV;OMTO3,,,,0, 5, 0
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'scisat-1/ace/ace-fts'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,ML3MBO3;OMTO3d;ML3DBT;OMNO2d;GozSmlpO3;ML2HNO3;OMNO2;OMI_MINDS_NO2;ML3DZN2O;UARHA2FN;ML3DBO3;ML2T_NRT;ML2O3;OMDOAO3e;ML3DZT;ML3DBN2O;OMCLDO2;ML3MBN2O;OMNO2G;OMO3PR;GozMmlpO3;UARHA3AT;OMCLDO2_CPR;OMI_MINDS_NO2d;OMVFPITMET;ML2DGG;ML2T;ML3DBHNO3;OMCLDO2Z;OMDOAO3;ML3DBHCN;OMSO2;OMNO2_CPR;ML2HNO3_NRT;OMDOAO3G;ML2N2O_NRT;OMTO3G;OMUFPITMET;ML3DZHNO3;ML3MBHNO3;OMMYDCLD;OMTO3e;ML2N2O;ML2O3_NRT;ML3MBT;ML3DZO3,,,5, 2, 41
2ZZ72XPQ,2019_Kacenelenbogen_Estimations of global shortwave direct aerosol radiative effects above opaque.pdf,'aqua/modis'(6); 'terra/modis'(2), 'geos-5'(1),OMAERO;OMAERUV,,,,0, 2, 0
LJJ4NEIF,2018_Sarkar_Crop Residue Burning in Northern India.pdf,'terra/modis'(3); 'aura/omi'(3); 'aqua/modis'(2); 'aqua/airs'(1), 'merra'(5); 'merra-2'(2),AIRS3STD;M2TMNXAER;OMAEROe;OMAERUVd,AIRS3STD;AIRX2SUP;AIRX3STD;AIRX2RET,,,1, 3, 3
F2ZKI99D,2020_Fioletov_Anthropogenic and volcanic point source SOsub2-sub emissions derived from.pdf,'sentinel-5p/tropomi'(4); 'aura/omi'(3); 'suomi-npp/omps'(1), ,MSAQSO2L4;OMPS_NPP_NMSO2_PCA_L2;OMSO2;S5P_L2__SO2____HiR;S5P_L2__SO2____,S5P_L2__O3_TCL;S5P_L2__SO2____HiR;OMSO2;OMMYDCLD;OMVFPITMET;OMSO2G;S5P_L2__O3_TOT_HiR;OMSO2_CPR;MSAQSO2L4;S5P_L2__CLOUD_;S5P_L2__CLOUD__HiR;OMSO2e;OMPS_NPP_NMSO2_L2;OMUFPITMET;OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4;S5P_L2__O3_TOT,,,4, 1, 13
KK5T5FAG,2020_Huijnen_An intercomparison of tropospheric ozone reanalysis products from CAMS CAMS.pdf,'aura/mls'(3); 'aura/omi'(2); 'noaa-19/sbuv/2'(1); 'noaa-14/sbuv/2'(1), ,ML2O3;OMNO2;OMSO2,ML3MBO3;MSO3L3zm5;OMTO3d;OMNO2d;MSLERLSTL3zm;ML2HNO3;OMNO2;ML3MBSO2;OMI_MINDS_NO2;ML3DZN2O;ML3DZSO2;ML3DBO3;ML2O3;SBUV2N14L3zm;OMDOAO3e;ML2CO_NRT;SBUV2N14L2;ML3DBN2O;ML3MBN2O;OMNO2G;OMSO2G;OMO3PR;ML2CO;ML3DBCO;OMI_MINDS_NO2d;ML2DGG;ML3DBHNO3;OMDOAO3;OMSO2;OMNO2_CPR;ML2HNO3_NRT;OMSO2_CPR;ML3MBCO;MSAQSO2L4;OMDOAO3G;ML3DZCO;MSLERNNL3zm;ML2N2O_NRT;OMPS_NPP_NMSO2_PCA_L2;ML3MBHNO3;OMTO3G;ML3DZHNO3;SBUV2N19L2;ML2SO2;OMTO3e;SBUV2N19L3zm;ML2N2O;ML3DBSO2;ML2O3_NRT;OMSO2e;ML2SO2_NRT;MSVOLSO2L4;ML3DZO3,,,3, 0, 50
LTTW7HBG,2018_Lambert_Accuracy and precision of polar lower stratospheric temperatures from.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(26); 'merra-2'(17); 'geos-5'(10),ML2H2O;ML2HNO3;ML2T,ML3DBT;ML2HNO3;ML2T_NRT;ML3DBRHI;ML3DZT;ML3DZH2O;AIRX2RET;AIRABRAD_NRT;ML2T;ML2DGG;ML3DBHNO3;ML3DBHCN;AIRX2SUP;ML2HNO3_NRT;ML3MBH2O;ML2H2O_NRT;AIRX3STD;ML3MBHNO3;ML3DZHNO3;AIRS3STD;ML3DBH2O;ML2H2O;AIRABRAD;AIRHBRAD;ML3MBT,,,3, 0, 22
TB4GIJ7Y,2020_Liu_A methodology to constrain carbon dioxide emissions from coal-fired power.pdf,'aura/omi'(1), 'merra-2'(4); 'merra'(4),OMNO2;OMVFPITMET,OMTO3d;OMDOAO3;OMTO3e;OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMO3PR;OMDOAO3G;OMDOAO3e;OMI_MINDS_NO2d;OMTO3G,,,1, 1, 12
PXKGZS94,2018_Itahashi_A 15-year record (2001–2015) of the ratio of nitrate to non-sea-salt sulfate in.pdf,'aura/omi'(1), ,OMNO2d;OMSO2e,OMSO2;OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMSO2G;OMSO2_CPR;OMI_MINDS_NO2;MSAQSO2L4;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4;OMI_MINDS_NO2d,,,2, 0, 11
HMHY4HFU,2018_Sun_A physics-based approach to oversample multi-satellite multispecies.pdf,'aura/omi'(1), ,OMNO2d;OMPIXCOR,OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMI_MINDS_NO2d,,,1, 1, 5
FG6I3DFC,2018_Kourtidis_A new method for deriving trace gas emission inventories from satellite.pdf,'aura/omi'(5), ,OMNO2d;OMSO2e,OMSO2;OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMSO2G;OMSO2_CPR;OMI_MINDS_NO2;MSAQSO2L4;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4;OMI_MINDS_NO2d,,,2, 0, 11
IUTVRRDV,2016_Fan_Urbanization and environmental change during the economic transition on the.pdf,'aura/omi'(1), 'merra'(2),OMSO2e;OMNO2d;OMAEROe;MAT1NXFLX;MATMNXSLV,OMUFPITMET;OMMYDCLD;OMVFPITMET,,,0, 5, 3
PTQ94YPR,2019_Inness_Monitoring and assimilation tests with TROPOMI data in the CAMS system.pdf,'sentinel-5p/tropomi'(3); 'aura/mls'(2); 'aura/omi'(2); 'noaa-19/sbuv/2'(1), ,ML2O3;OMTO3;OMPS_NPP_NMTO3_L2;OMPS_NPP_NMTO3_L3_DAILY;SBUV2N19L2;S5P_L2__O3_TOT;S5P_L2__O3_TOT_HiR,ML3MBO3;MSO3L3zm5;ML3DBT;OMTO3d;S5P_L2__CO_____HiR;MSLERLSTL3zm;ML3DBO3;ML2T_NRT;ML2O3;OMDOAO3e;S5P_L2__O3_TOT;ML3DZT;S5P_L2__CLOUD_;OMO3PR;S5P_L2__CO____;ML2T;ML2DGG;OMVFPITMET;OMDOAO3;ML3DBHCN;S5P_L2__O3_TCL;S5P_L2__O3_TOT_HiR;OMDOAO3G;MSLERNNL3zm;OMTO3G;OMUFPITMET;SBUV2N19L2;OMMYDCLD;OMTO3e;SBUV2N19L3zm;S5P_L2__CLOUD__HiR;ML2O3_NRT;ML3MBT;ML3DZO3,,,4, 3, 30
AQ984N7H,2019_Zhao_Retrieval of total column and surface NO sub2-sub from Pandora zenith-sky.pdf,'aura/omi'(1), 'geos-chem'(3),OMNO2,OMMYDCLD;OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMUFPITMET;OMI_MINDS_NO2d;OMVFPITMET,,,1, 0, 8
GH789B22,2020_Cooper_Effects of a priori profile shape assumptions on comparisons between satellite.pdf,, 'geos-chem'(10),OMNO2,,,,0, 1, 0
EVI3747H,2018_Mok_Comparisons of spectral aerosol single scattering albedo in Seoul South Korea.pdf,'aura/omi'(3), ,OMTO3;OMNO2,OMDOAO3;OMTO3d;OMTO3e;OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMI_MINDS_NO2;OMO3PR;OMDOAO3G;OMDOAO3e;OMI_MINDS_NO2d;OMTO3G,,,1, 1, 12
NSIRW452,2018_Li_Comparison and evaluation of anthropogenic emissions of SO sub2-sub and NO.pdf,'aura/omi'(1), 'geos-chem'(9); 'geos-5'(1),OMSO2;OMNO2,OMSO2;OMNO2d;OMNO2_CPR;OMNO2;OMNO2G;OMSO2G;OMSO2_CPR;OMI_MINDS_NO2;MSAQSO2L4;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;MSVOLSO2L4;OMI_MINDS_NO2d,,,2, 0, 11
EMIHDVGU,2020_Choi_Assessment of NOsub2-sub observations during DISCOVER-AQ and KORUS-AQ field.pdf,'aura/omi'(3); 'aura/mls'(1), 'merra-2'(1); 'merra'(1),OMNO2,ML3DBT;OMNO2d;OMNO2;OMI_MINDS_NO2;ML3DZN2O;ML2T_NRT;ML3DZT;ML2CO_NRT;ML3DBN2O;ML3MBN2O;OMNO2G;ML2CO;ML3DBCO;OMI_MINDS_NO2d;ML2DGG;OMVFPITMET;ML2T;ML3DBHCN;OMNO2_CPR;ML3MBCO;ML3DZCO;ML2N2O_NRT;OMUFPITMET;OMMYDCLD;ML2N2O;ML3MBT,,,1, 0, 25
NYALEFU3,2018_López-Puertas_MIPAS observations of ozone in the middle atmosphere.pdf,'aura/mls'(1), 'merra'(1),ML2O3,ML3MBO3;ML3DBT;ML3DBHCN;ML3MBCO;ML2O3_NRT;ML3DBO3;ML2T_NRT;ML2CO;ML3DZCO;ML2O3;ML3DBCO;ML2T;ML3MBT;ML3DZO3;ML2DGG;ML3DZT;ML2CO_NRT,,,1, 0, 16
