paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
F7FJJ4B5,2019_du Preez_Spring and summer time ozone and solar ultraviolet radiation variations over.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMNO2;OMTO3G,ML3DZO3;ML2O3;ML3MBO3;OMDOAO3;OMDOAO3G;OMDOAO3e;OMTO3e;OMTO3d;OMDOAO3Z;ML2O3_NRT;ML3DBO3;ML2DGG;OMO3PR;GozMmlpO3;OMTO3G;GozSmlpO3,,,2, 1, 14
7UDJRYYH,2018_Fu_Satellite-Observed Impacts of Wildfires on Regional Atmosphere Composition and.pdf,'aqua/modis'(5); 'aura/omi'(5); 'aqua/airs'(2); 'aqua/airs----level 2'(1), ,AIRX2RET;OMAERUV;OMHCHO;OMNO2,AIRX3STD;OMI_MINDS_NO2;OMNO2;AIRS3STM;OMMYDCLD;AIRS2RET;MAC06S1;AIRS2SUP;AIRHBRAD;AIRS3SPD;OMNO2G;OMNO2_CPR;OMNO2d;MAM06S0;MAC06S0;MYD11CM1N;OMI_MINDS_NO2d;MAC07S0;AIRS3STD;AIRH2SUP;OMVFPITMET;AIRS2SUP_NRT;AIRX2RET;MAM07S0;AIRABRAD;MYD11CM1D;AIRX2SUP;AIRH2RET;AIRABRAD_NRT;AIRS2RET_NRT;OMUFPITMET,,,2, 2, 29
XHRT3E32,2018_Hickman_Satellite evidence of substantial rain-induced soil emissions of ammonia across.pdf,'aura/omi'(1), ,OMNO2d;TRMM_3B42_Daily,OMI_MINDS_NO2d;OMI_MINDS_NO2;OMNO2;OMNO2G;OMNO2_CPR;OMNO2d,,,1, 1, 5
WI8FPDAY,2019_Suleiman_OMI total bromine monoxide (OMBRO) data product.pdf,'aura/omi'(2), ,ML1RADD;OML1BRUG,MSAQSO2L4;OMSO2_CPR;OMSO2e;OMPS_NPP_NMSO2_PCA_L2;OMSO2G;OMDOAO3;OMDOAO3G;OMSO2;MSVOLSO2L4;OMBRO;OMTO3e;OMDOAO3e;OMTO3d;OMDOAO3Z;OMO3PR;OMTO3G,,,0, 2, 16
DT6TGB86,2020_Sogacheva_Merging regional and global aerosol optical depth records from major available.pdf,'terra/modis'(4); 'aqua/modis'(3); 'nimbus-7/toms'(1), ,OMAERUV;SWDB_L3M10;TOMSEPL2;TOMSN7L2;TOMSEPL3;TOMSN7L3,,,,0, 6, 0
E7JHRVCH,2019_Ren_Lightning and Associated Convection Features in the Presence of Absorbing.pdf,'aqua/modis'(4); 'aura/omi'(1), 'merra'(9),M2I3NPASM;M2I3NVASM;M2T1NXFLX;M2T1NXSLV;OMTO3,,,,0, 5, 0
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'scisat-1/ace/ace-fts'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,ML2HNO3_NRT;ML3MBO3;OMI_MINDS_NO2;ML3DBN2O;OMNO2;OMDOAO3G;ML2N2O_NRT;OMDOAO3e;OMCLDO2Z;OMCLDO2;OMMYDCLD;ML3DZT;ML2T;OMTO3G;GozSmlpO3;ML2O3;ML3MBHNO3;ML3DBCLO;GozSmlpHNO3;OMTO3;OMNO2G;OMNO2_CPR;OMTO3e;OMTO3d;ML2O3_NRT;GozMmlpHNO3;OMNO2d;GozMmlpO3;ML3DZN2O;OMDOAO3Z;ML3DZO3;OMI_MINDS_NO2d;ML2T_NRT;ML3DBHCN;UARHA3AT;ML3MBN2O;GozMmlpN2O;OMVFPITMET;ML3DBCH3CL;ML3DBHNO3;ML3DZHNO3;UARHA2FN;ML2DGG;ML2N2O;ML2HNO3;OMDOAO3;ML3MBT;GozSmlpN2O;ML3DBT;ML3DBO3;OMO3PR;OMUFPITMET,,,5, 2, 47
2ZZ72XPQ,2019_Kacenelenbogen_Estimations of global shortwave direct aerosol radiative effects above opaque.pdf,'aqua/modis'(6); 'terra/modis'(2), 'geos-5'(1),OMAERO;OMAERUV,,,,0, 2, 0
LJJ4NEIF,2018_Sarkar_Crop Residue Burning in Northern India.pdf,'terra/modis'(3); 'aura/omi'(3); 'aqua/modis'(2); 'aqua/airs'(1), 'merra'(5); 'merra-2'(2),AIRS3STD;M2TMNXAER;OMAEROe;OMAERUVd,AIRX3STD;AIRS3STD;AIRS3SPD;AIRH2SUP;AIRX2SUP;AIRS3STM;AIRH2RET;AIRX2RET,,,1, 3, 7
F2ZKI99D,2020_Fioletov_Anthropogenic and volcanic point source SOsub2-sub emissions derived from.pdf,'sentinel-5p/tropomi'(4); 'aura/omi'(3); 'suomi-npp/omps'(1), ,MSAQSO2L4;OMPS_NPP_NMSO2_PCA_L2;OMSO2;S5P_L2__SO2____HiR;S5P_L2__SO2____,OMSO2G;S5P_L2__HCHO___HiR;OMMYDCLD;S5P_L2__HCHO__;OMSO2_CPR;OMPS_NPP_NMSO2_L2;S5P_L2__O3_TOT;S5P_L2__SO2___;MSAQSO2L4;S5P_L2__SO2____HiR;OMSO2;S5P_L2__CLOUD_;OMVFPITMET;MSVOLSO2L4;S5P_L2__O3_TOT_HiR;OMSO2e;S5P_L2__O3_TCL;OMPS_NPP_NMSO2_PCA_L2;S5P_L2__CLOUD__HiR;OMUFPITMET,,,4, 1, 16
