zotero key, pdf key, title, mission/instruments, models, dois, datasets, dois & datasets mapped
MVVGVHJ8,B2I6L9SM,2016_Rohtash_Study on Comparison of Indian Ozonesonde Data with Satellite Data.pdf,'uars/mls'(29); 'aura/mls'(19); 'noaa-18/sbuv/2'(2); 'nimbus-7/sbuv'(1); 'aura/omi'(1); 'noaa-16/sbuv/2'(1), , 
7KJNUTXI,BQD9VNRP,2012_Kuttippurath_Record-breaking ozone loss in the Arctic winter 2010-2011.pdf,'aura/mls'(19); 'uars/mls'(11), , 
74YDBCF8,R3LF54DU,2016_Hurst_Recent divergences in stratospheric water vapor measurements by frost.pdf,'aura/mls'(3), , 
NCLLSXT7,YX5V2FJR,2011_Palazzi_Probability density functions of long-lived tracer observations from satellite.pdf,'aura/mls'(3); 'uars/haloe'(3); 'uars/mls'(1), , 
UGI5QSSH,86C5YB5R,2016_Nakajima_Polar stratospheric cloud evolution and chlorine activation measured by CALIPSO.pdf,'aura/mls'(6), 'merra'(2), 
5QBWYI7X,C87C263I,2018_Laeng_On the improved stability of the version 7 MIPAS ozone record.pdf,'aura/mls'(4), , 
AS5NWNWZ,TH5P6MXA,2007_Strahan_Observationally derived transport diagnostics for the lowermost stratosphere.pdf,'aura/mls'(1), 'geos-chem'(1), 
INWKJ9NF,Q2UZZELC,2007_Duncan_Model study of the cross-tropopause transport of biomass burning pollution.pdf,'aura/mls----level 2'(1), , 
7QWLVYY8,44ZB7BDQ,2014_Andersson_Longitudinal hotspots in the mesospheric OH variations due to energetic.pdf,'aura/mls'(3), , 
99ZU5QQT,7PMTQ34B,2016_Vogel_Long-range transport pathways of tropospheric source gases originating in Asia.pdf,'aura/mls'(4), , 
DE5DG3G9,26VRCAYH,2018_Steinbrecht_Is global ozone recovering.pdf,'aura/mls'(1), , 
WWUPKLVA,PQT5RYZC,2017_Roy_Influence of enhanced Asian NOx emissions on ozone in the upper troposphere and.pdf,'aura/mls'(1), , 
T6EM3RMB,9KDW3PM3,2015_Strode_Implications of carbon monoxide bias for methane lifetime and atmospheric.pdf,, 'merra'(5); 'geos-5'(3), 
RHS95UNC,4XM6WNZJ,2016_Jiang_Impacts of anthropogenic and natural sources on free tropospheric ozone over.pdf,, 'geos-chem'(7); 'geos-5'(1), 
M6KNM494,7ARW3FYV,2012_Wu_Hydration or dehydration.pdf,'aura/mls'(3), , 
QEQF8JVK,DZ88IKSH,2007_Eriksson_First Odin sub-mm retrievals in the tropical upper troposphere.pdf,'aura/mls'(4), , 
9FQ8NZE7,JYF7HS6E,2018_Bandoro_Detectability of the impacts of ozone-depleting substances and greenhouse gases.pdf,, , 
7UUQ3KSC,QF63BZLW,2015_Lefever_Copernicus stratospheric ozone service 2009–2012.pdf,'aura/mls'(10); 'aura/omi'(3); 'noaa-19/sbuv/2'(1); 'noaa-18/sbuv/2'(1), , 
UXS6M9FJ,25L6CU6M,2011_Tunbridge_Zonal wave numbers of the summertime 2 day planetary wave observed in the.pdf,'aura/mls'(9); 'uars/mls'(2); 'uars/windii'(1); 'uars/hrdi'(1), , 
Z8DRNR6U,2YWWWXGP,2015_Randel_What controls stratospheric water vapor in the NH summer monsoon regions.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), , 
FJADBNJM,XHRKV4CV,2014_Su_Weakening and strengthening structures in the Hadley Circulation change under.pdf,'aura/mls'(2); 'aqua/airs'(1), , 
JFRU6RUX,YBU6DSGY,2008_James_Water vapor transport and dehydration above convective outflow during Asian.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), , 
TWYWYKWD,MJC58VZV,2008_Su_Variations of tropical upper tropospheric clouds with sea surface temperature.pdf,'aura/mls'(2); 'aqua/airs'(1); 'aura/mls----level 2'(1); 'aqua/amsr-e'(1), , 
HZZBXPPE,G9GUUFL7,2014_Dessler_Variations of stratospheric water vapor over the past three decades.pdf,'aura/mls'(3), 'merra'(16), 
GICWGBI3,6PPN35LJ,2013_Nedoluha_Variations in middle atmospheric water vapor from 2004 to 2013.pdf,'aura/mls'(8), , 
6KJQA2UP,TQK24YVI,2014_Bhawar_Variation of upper tropospheric clouds and water vapour over the Indian Ocean.pdf,'aura/mls'(2), , 
3PHAXB3U,55Q23KWQ,2017_Park_Variability of Stratospheric Reactive Nitrogen and Ozone Related to the QBO.pdf,'aura/mls'(2), 'merra'(3), 
P6VV3YA7,MQII5FPP,2013_Olsen_Variability of extratropical ozone stratosphere-troposphere exchange using.pdf,'aura/mls'(2); 'ep-toms/toms'(1); 'aura/mls----level 2'(1), 'merra'(3); 'geos-5'(1), 
HFF2INTS,MT9TTPY4,2010_Rong_Validation of v1.pdf,'aura/mls'(2); 'aura/mls----level 2'(1), , 
5362HAHT,3QSBT7RG,2009_Rong_Validation of Thermosphere Ionosphere Mesosphere Energetics and.pdf,'aura/mls'(5); 'aura/hirdls'(1); 'erbs/sage ii'(1), , 
