paper, title, mission/instruments, models, manually reviewed, CMR datasets,,,correct, missed, extraneous
PGBMGFUZ,2015_Katragkou_Evaluation of near-surface ozone over Europe from the MACC reanalysis.pdf,'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'aura/omi'(1); 'noaa-18/sbuv/2'(1); 'aura/mls'(1), ,ML2O3;OMTO3;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2,OMTO3e;MSO3L3zm5;ML2O3,,,1, 4, 2
2962EUIH,2015_Nath_Equatorial middle atmospheric chemical composition changes during sudden.pdf,'aura/mls'(8), ,ML2O3;ML2H2O;ML2T,ML2O3;ML2H2O;ML2T,,,3, 0, 0
MCCQIYFI,2016_Damiani_Energetic particle precipitation.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), 'merra'(1),ML2O3;ML2HNO3,ML2O3;ML2HNO3,,,2, 0, 0
Y8XH8Z2I,2016_Skachko_EnKF and 4D-Var data assimilation with chemical transport model BASCOE (version.pdf,'aura/mls'(24), ,ML2O3;ML2N2O;ML2H2O;ML2HNO3;ML2HCL,GozMmlpHCl;ML2N2O;ML2H2O;ML2HNO3;ML2O3,,,4, 1, 1
D7Q2U4X6,2016_Yi_Estimation of mesopause temperatures at low latitudes using the Kunming meteor.pdf,'aura/mls'(4), ,ML2T,ML2T,,,1, 0, 0
NEM7NXEJ,2018_Xie_Effect of the Indo-Pacific Warm Pool on Lower-Stratospheric Water Vapor and.pdf,'uars/haloe'(1); 'uars/mls'(1); 'aura/mls'(1), ,ML2O3;ML2H2O;UARHA2FN;UARHA3AT;UARML3AT;UARML3AL,,,,0, 6, 0
JDFZQQQL,2019_Ma_Effects of Arctic stratospheric ozone changes on spring precipitation in the.pdf,'aura/mls'(1), ,GozMmlpO3;GozSmlpO3;GPCPMON;ML2O3;UARHA2FN;UARA3AT,,,,0, 6, 0
FBP5UQW5,2013_Reid_Observing and understanding the Southeast Asian aerosol system by remote sensing.pdf,'aqua/modis'(10); 'terra/modis'(9); 'trmm/tmi'(1), ,OMNO2d;ML2CO;OMAERUVd;OMAEROe;MOD08_D3;MYD08_D3;SWDB_L305;MIL3DAE,,,,0, 8, 0
VYH57XBM,2013_McLandress_Dynamical Control of the Mesosphere by Orographic and Nonorographic Gravity.pdf,'aura/mls'(2), ,ML2T;ML2CO;ML2GPH,ML2T;ML2CO,,,2, 1, 0
9HUZHU8W,2018_Hassler_An updated version of a gap-free monthly mean zonal mean ozone database.pdf,'aura/mls'(2); 'uars/mls'(1), ,ML2O3;UARHA2FN;UARHA3AT,GozMmlpO3;ML2O3,,,1, 2, 1
